feature,correlation,abs_correlation
rotate,-0.07530681278923074,0.07530681278923074
vibration,0.062301829281745456,0.062301829281745456
pressure,0.056857006574805885,0.056857006574805885
volt,0.047037325298669795,0.047037325298669795
hours_since_maint_comp4,0.03540028390439925,0.03540028390439925
volt_mean_24h,-0.03415416142427054,0.03415416142427054
vibration_mean_24h,-0.03339693512011713,0.03339693512011713
hours_since_maint_comp3,0.03332796739686105,0.03332796739686105
volt_mean_12h,-0.033126938318502136,0.033126938318502136
volt_max_24h,-0.032218045664068266,0.032218045664068266
model_model1,0.03209706154668404,0.03209706154668404
vibration_mean_12h,-0.03159128382403051,0.03159128382403051
pressure_mean_24h,-0.030741810711422818,0.030741810711422818
volt_max_12h,-0.030302338287785897,0.030302338287785897
pressure_max_24h,-0.029800664951020413,0.029800664951020413
age,0.02973236969404668,0.02973236969404668
vibration_max_24h,-0.029418166096952393,0.029418166096952393
pressure_mean_12h,-0.02910836947576097,0.02910836947576097
hours_since_maint_comp2,0.02890002951432176,0.02890002951432176
rotate_mean_24h,-0.02883003578659288,0.02883003578659288
volt_mean_3h,-0.028711898161684922,0.028711898161684922
pressure_max_12h,-0.028134966223686782,0.028134966223686782
vibration_max_12h,-0.027911246649791024,0.027911246649791024
rotate_mean_12h,-0.02752476696849614,0.02752476696849614
rotate_max_24h,-0.027479097142162342,0.027479097142162342
volt_max_3h,-0.027253465673232655,0.027253465673232655
vibration_mean_3h,-0.02656322894449196,0.02656322894449196
rotate_max_12h,-0.026155641058636693,0.026155641058636693
pressure_mean_3h,-0.025615846874013193,0.025615846874013193
pressure_max_3h,-0.024548609982696572,0.024548609982696572
vibration_max_3h,-0.024475962964942373,0.024475962964942373
hours_since_maint_comp1,0.02437007276690795,0.02437007276690795
model_model4,-0.024295686085966904,0.024295686085966904
error3_count_168h,-0.023939296076845463,0.023939296076845463
rotate_mean_3h,-0.02319120559436269,0.02319120559436269
rotate_max_3h,-0.021970697026743945,0.021970697026743945
error2_count_168h,-0.020566409937009558,0.020566409937009558
model_model2,0.019474394724003287,0.019474394724003287
error1_count_168h,-0.01824998007312715,0.01824998007312715
pressure_std_24h,-0.017769789415658613,0.017769789415658613
volt_std_24h,-0.017765957871114187,0.017765957871114187
rotate_std_24h,-0.01702934392610994,0.01702934392610994
model_model3,-0.016245983769151106,0.016245983769151106
error5_count_168h,-0.015378632998430904,0.015378632998430904
vibration_std_24h,-0.01497160640676863,0.01497160640676863
pressure_std_12h,-0.01338102042928503,0.01338102042928503
rotate_std_12h,-0.012539515947202066,0.012539515947202066
volt_std_12h,-0.012123474296076317,0.012123474296076317
vibration_std_12h,-0.010442325947216023,0.010442325947216023
error2_count_24h,-0.00815967635023548,0.00815967635023548
error4_count_168h,-0.007047478387485774,0.007047478387485774
error1_count_24h,-0.006947314912384362,0.006947314912384362
volt_std_3h,-0.006770829787601102,0.006770829787601102
rotate_std_3h,-0.00558796624682504,0.00558796624682504
error3_count_24h,-0.0054930577170994675,0.0054930577170994675
pressure_std_3h,-0.005403758765818166,0.005403758765818166
vibration_std_3h,-0.0040232135051963365,0.0040232135051963365
error4_count_24h,-0.003825373382550065,0.003825373382550065
error5_count_24h,-0.003680174692744843,0.003680174692744843
